"","ID","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"581","Wine581",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6
"582","Wine582",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6
"583","Wine583",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2
"584","Wine584",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9
"585","Wine585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7
"586","Wine586",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6
"587","Wine587",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6
"588","Wine588",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3
"589","Wine589",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14
"590","Wine590",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5
"591","Wine591",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7
"592","Wine592",6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5
"593","Wine593",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7
"594","Wine594",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9
"595","Wine595",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5
"596","Wine596",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3
"597","Wine597",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3
"598","Wine598",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10
"599","Wine599",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8
"600","Wine600",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3
"601","Wine601",8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10
"602","Wine602",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"603","Wine603",7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3
"604","Wine604",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"605","Wine605",8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1
"606","Wine606",8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2
"607","Wine607",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2
"608","Wine608",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5
"609","Wine609",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4
"610","Wine610",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7
"611","Wine611",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2
"612","Wine612",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4
"613","Wine613",7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10
"614","Wine614",8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8
"615","Wine615",9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2
"616","Wine616",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7
"617","Wine617",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7
"618","Wine618",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8
"619","Wine619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2
"620","Wine620",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3
"621","Wine621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4
"622","Wine622",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4
"623","Wine623",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5
"624","Wine624",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1
"625","Wine625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
"626","Wine626",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
"627","Wine627",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1
"628","Wine628",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1
"629","Wine629",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3
"630","Wine630",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3
"631","Wine631",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3
"632","Wine632",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5
"633","Wine633",7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5
"634","Wine634",10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3
"635","Wine635",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5
"636","Wine636",8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7
"637","Wine637",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4
"638","Wine638",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4
"639","Wine639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2
"640","Wine640",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3
"641","Wine641",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"642","Wine642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5
"643","Wine643",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"644","Wine644",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5
"645","Wine645",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"646","Wine646",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1
"647","Wine647",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1
"648","Wine648",8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11
"649","Wine649",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2
"650","Wine650",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3
"651","Wine651",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6
"652","Wine652",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2
"653","Wine653",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9
"654","Wine654",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12
"655","Wine655",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5
"656","Wine656",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4
"657","Wine657",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6
"658","Wine658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5
"659","Wine659",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6
"660","Wine660",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11
"661","Wine661",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6
"662","Wine662",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9
"663","Wine663",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6
"664","Wine664",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2
"665","Wine665",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2
"666","Wine666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7
"667","Wine667",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5
"668","Wine668",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2
"669","Wine669",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11
"670","Wine670",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2
"671","Wine671",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10
"672","Wine672",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5
"673","Wine673",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5
"674","Wine674",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5
"675","Wine675",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3
"676","Wine676",9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2
"677","Wine677",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3
"678","Wine678",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9
"679","Wine679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10
"680","Wine680",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6
"681","Wine681",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9
"682","Wine682",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2
"683","Wine683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8
"684","Wine684",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3
"685","Wine685",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4
"686","Wine686",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3
"687","Wine687",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1
"688","Wine688",9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7
"689","Wine689",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4
"690","Wine690",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4
"691","Wine691",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7
"692","Wine692",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8
"693","Wine693",8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9
"694","Wine694",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4
"695","Wine695",9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4
"697","Wine697",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
"698","Wine698",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
"699","Wine699",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7
"700","Wine700",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8
"701","Wine701",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1
"702","Wine702",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
"703","Wine703",7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4
"704","Wine704",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6
"705","Wine705",9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7
"706","Wine706",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9
"707","Wine707",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10
"708","Wine708",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5
"709","Wine709",7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6
"710","Wine710",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10
"711","Wine711",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1
"712","Wine712",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5
"713","Wine713",8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4
"714","Wine714",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4
"715","Wine715",9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8
"716","Wine716",7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2
"717","Wine717",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4
"718","Wine718",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10
"719","Wine719",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6
"720","Wine720",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5
"721","Wine721",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6
"722","Wine722",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2
"723","Wine723",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10
"724","Wine724",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5
"725","Wine725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2
"726","Wine726",9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4
"727","Wine727",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1
"728","Wine728",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"729","Wine729",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"730","Wine730",6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7
"731","Wine731",9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6
"732","Wine732",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5
"733","Wine733",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6
"734","Wine734",7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5
"735","Wine735",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3
"736","Wine736",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5
"737","Wine737",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5
"738","Wine738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3
"739","Wine739",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2
"740","Wine740",9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3
"741","Wine741",8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5
"742","Wine742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5
"743","Wine743",6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2
"744","Wine744",11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10
"745","Wine745",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5
"746","Wine746",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5
"747","Wine747",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9
"748","Wine748",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4
"749","Wine749",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6
"750","Wine750",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5
"751","Wine751",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
"752","Wine752",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
"753","Wine753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4
"754","Wine754",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
"755","Wine755",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1
"756","Wine756",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7
"757","Wine757",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2
"758","Wine758",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8
"759","Wine759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8
"760","Wine760",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2
"761","Wine761",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7
"762","Wine762",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6
"763","Wine763",8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10
"764","Wine764",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6
"765","Wine765",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5
"766","Wine766",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5
"767","Wine767",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4
"768","Wine768",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5
"769","Wine769",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7
"770","Wine770",7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6
"771","Wine771",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7
"772","Wine772",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4
"773","Wine773",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4
"774","Wine774",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5
"775","Wine775",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5
"776","Wine776",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10
"777","Wine777",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3
"778","Wine778",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3
"779","Wine779",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5
"780","Wine780",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8
"781","Wine781",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4
"782","Wine782",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"783","Wine783",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10
"784","Wine784",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"785","Wine785",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8
"786","Wine786",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5
"787","Wine787",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5
"788","Wine788",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1
"789","Wine789",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1
"790","Wine790",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3
"791","Wine791",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7
"792","Wine792",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6
"793","Wine793",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7
"794","Wine794",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8
"795","Wine795",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5
"796","Wine796",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2
"797","Wine797",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6
"798","Wine798",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8
"799","Wine799",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7
"800","Wine800",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7
"801","Wine801",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4
"802","Wine802",8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10
"803","Wine803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9
"804","Wine804",7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6
"805","Wine805",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9
"806","Wine806",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8
"807","Wine807",8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5
"808","Wine808",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8
"809","Wine809",7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2
"810","Wine810",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3
"811","Wine811",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5
"812","Wine812",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9
"813","Wine813",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8
"814","Wine814",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4
"815","Wine815",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3
"816","Wine816",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8
"817","Wine817",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5
"818","Wine818",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9
"819","Wine819",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4
"820","Wine820",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6
"821","Wine821",7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7
"822","Wine822",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14
"823","Wine823",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8
"824","Wine824",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8
"825","Wine825",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3
"826","Wine826",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7
"827","Wine827",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11
"828","Wine828",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7
"829","Wine829",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7
"830","Wine830",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1
"831","Wine831",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9
"832","Wine832",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1
"833","Wine833",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9
"834","Wine834",11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9
"835","Wine835",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4
"836","Wine836",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3
"837","Wine837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7
"838","Wine838",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7
"839","Wine839",10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2
"840","Wine840",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10
"841","Wine841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1
"842","Wine842",6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3
"843","Wine843",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9
"844","Wine844",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4
"845","Wine845",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6
"846","Wine846",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"847","Wine847",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"848","Wine848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9
"849","Wine849",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"850","Wine850",6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8
"851","Wine851",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5
"852","Wine852",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5
"853","Wine853",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7
"854","Wine854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"855","Wine855",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"856","Wine856",7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7
"857","Wine857",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"858","Wine858",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3
"859","Wine859",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6
"860","Wine860",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2
"861","Wine861",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5
"862","Wine862",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5
"863","Wine863",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4
"864","Wine864",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7
"865","Wine865",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5
"866","Wine866",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7
"867","Wine867",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3
"868","Wine868",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2
"869","Wine869",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2
"870","Wine870",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9
